,Comp,LA,MIA,NY,PX,alpha
14860,0.685,-0.168,-0.115,0.629,0.006,-0.0055206976
15180,0.642,-0.331,0.034,-0.193,-0.037,-0.0128387138
15260,0.278,-0.322,-0.185,0.668,0.279,-0.0073615151
15380,0.062,0.046,0.059,-0.035,-0.081,-0.0178835093
15500,1.404,-0.481,-0.232,-0.344,0.032,-0.0156429621
15540,0,0.019,0.07,0.349,0.015,-0.0020278575
15764,2.562,-0.541,-0.39,-0.229,-0.231,0.008642139
15804,0,-0.05,0.251,0.612,-0.045,-0.0124623137
15940,1.931,-0.706,-0.039,-0.527,-0.114,-0.013932848
15980,0.226,0.162,0.955,-0.266,0.009,-0.013799773
16020,0.827,-0.419,0.062,-0.214,0.012,-0.006962832
16180,0.291,-0.172,0.12,0.772,0.341,-0.0189243892
16220,0,-0.331,0.328,0.177,0.082,0.0178311257
16300,1.24,-0.54,0.114,-0.417,-0.153,-0.0098997789
16580,0.562,-0.199,-0.006,-0.037,-0.014,-0.0102512323
16620,0.943,-0.432,0.038,-0.319,-0.068,-0.0085059629
16700,0.835,-0.015,-0.467,-0.004,0.451,0.0047444002
16740,0.844,-0.309,-0.269,-0.263,0.291,-0.0096352232
16820,0,-0.036,0.033,0.527,0.125,-0.0013578854
16860,0.715,-0.293,0.011,-0.101,0.005,-0.0069644561
16940,0.503,-0.342,0.305,-0.081,-0.138,0.0034670167
16974,0.913,-0.412,0.103,0.209,0.059,-0.012411941
17020,0.066,0.129,0.143,0.748,0.117,-0.0084444414
17140,1.357,-0.459,-0.057,-0.329,-0.04,-0.0159645246
17300,0.347,-0.362,0.015,0.071,0.097,-0.0055213187
17420,0.542,-0.399,-0.038,0.165,0.118,-0.0071183624
17460,1.917,-0.612,0.097,-0.671,-0.202,-0.0208492126
17660,0,-0.399,0.042,0.414,0.628,-0.0044979018
17780,0.799,-0.329,0.068,-0.238,-0.156,-0.004799881
17820,1.785,-0.803,0.143,-0.517,-0.05,0.0028643751
17860,0.656,-0.285,0.023,-0.249,0.058,-0.0077065718
17900,0.614,-0.181,-0.175,0.007,0.08,-0.0143049884
17980,0,-0.156,-0.045,0.337,0.189,-0.0148314943
18020,0.905,-0.518,0.036,-0.351,0.042,-0.009793329
18140,1.489,-0.512,-0.033,-0.438,-0.071,-0.011808917
18580,0.441,-0.149,-0.005,-0.099,0.046,-0.0068472264
18700,0.021,-0.569,0.489,-0.057,0.13,0.0041886169
19060,0,-0.167,-0.009,0.216,0.231,-0.0098752204
19124,1.49,-0.291,-0.411,-0.496,0.102,-0.0057143038
19140,1.128,-0.44,-0.068,-0.097,0.082,-0.0161312045
19180,0.789,-0.432,0.07,-0.073,-0.02,-0.0152728842
19260,0,-0.139,0.006,0.29,0.111,-0.0079752467
19340,1.186,-0.448,-0.042,-0.321,-0.064,-0.0033707122
19380,1.286,-0.485,0.074,-0.442,-0.056,-0.0242698802
19460,0.449,-0.193,-0.165,0.025,0.075,-0.0149467705
19500,0.754,-0.355,0.052,-0.216,-0.071,-0.0158010682
19660,0,0.115,0.257,0.491,0.325,-0.0162263401
19740,3.331,-1.008,-0.235,-1.132,-0.183,0.0174170081
19780,1.198,-0.474,0.003,-0.289,-0.05,-0.007184066
19804,4.255,-1.068,-0.181,-1.74,-0.121,-0.0155002609
20020,0,-0.131,-0.033,0.182,0.165,-0.0143936351
20100,0,-0.066,0.002,0.342,0.276,-0.0143711236
20220,1.101,-0.508,0.175,-0.428,-0.151,-0.0011063359
20260,0.817,-0.388,0.061,0.259,-0.077,0.0046548867
20500,0.994,-0.299,-0.236,-0.218,0.098,-0.0070344472
20740,1.454,-0.579,-0.091,-0.262,-0.014,0.0028242803
20764,0,0.011,0.133,0.764,-0.043,-0.0101735793
20940,0,0.151,0.994,-0.469,0.137,-0.0201524764
21060,0.184,-0.346,0.101,0.241,0.068,-0.0047500324
21140,1.234,-0.504,-0.128,-0.269,0.067,-0.0147262114
21300,0.21,0.137,0.01,-0.26,-0.187,-0.0135329889
21340,0,-0.081,0.2,-0.078,0.067,-0.0150377066
21500,0.952,-0.408,0.169,-0.429,-0.17,-0.0099269531
21660,0,-0.388,0.159,0.209,0.409,0.0008974713
21780,1.289,-0.395,-0.121,-0.443,-0.016,-0.0086612671
21820,0,-0.099,0.25,-0.121,-0.01,-0.0044465196
22020,0.817,-0.211,0.064,-0.305,-0.114,-0.000934972
22140,0,-0.308,0.127,0.366,0.191,0.0017855869
22180,0.069,-0.187,0.094,0.025,0.007,-0.0162804948
22220,0.564,-0.372,0.134,0.028,0.145,-0.0092885462
22380,0,-0.194,-0.163,0.565,0.665,0.0016173333
22420,2.952,-0.904,-0.16,-0.842,-0.037,-0.019878913
22500,0.697,-0.31,-0.13,-0.017,0.05,-0.0112916392
22520,0,-0.31,0.024,0.185,0.136,-0.0140863016
22540,0.965,-0.599,0.091,-0.087,0.002,-0.0066842908
22660,2.655,-1.113,0.068,-0.736,-0.196,0.0111442495
22744,0.164,0.056,0.898,-0.05,0.018,-0.0006117143
22900,0.524,-0.259,-0.068,-0.082,0.064,-0.010073603
23020,0,0.07,0.18,0.451,0.304,-0.0043984179
23060,1.283,-0.335,-0.147,-0.483,-0.025,-0.0192588055
23104,1.217,-0.294,-0.268,-0.399,0.063,-0.0095645351
23420,0,0.384,0.611,0.173,-0.054,-0.0153107463
23460,0,-0.407,-0.005,0.454,0.211,-0.0038505607
23540,0,-0.066,0.05,0.55,0.235,-0.0099753621
23580,1.718,-0.607,-0.423,-0.031,0.239,-0.0133577873
23844,0.677,-0.368,0.165,-0.217,-0.008,-0.0160229304
24020,0,0.102,-0.07,0.467,0.137,-0.0101948281
24140,0.495,-0.191,-0.168,-0.136,0.145,-0.0128199366
24220,0.216,-0.094,0.176,-0.319,0.021,0.0028753008
24300,0.17,-0.556,-0.028,0.547,0.377,0.0066212257
24340,2.6,-0.694,-0.13,-1.002,-0.097,-0.0116563041
24500,0.11,-0.499,0.051,0.217,0.323,0.0060573481
24540,3.031,-1.154,0.148,-0.979,-0.288,0.0046409471
