0,1,2,3,4,5
USA,0.04828710896114414,0.06489203154540737,0.07423148702288251,0.07888837918446392,0.08005368215888493
AK,0.039016009067394934,0.04352157171493399,0.0482399906752478,0.0510427540424028,0.051881970558216424
AL,0.03582707819427569,0.04624039054600755,0.051631219519727385,0.05357997813311901,0.05294571836318132
AR,0.03145713993887475,0.0392203381123469,0.0443134528295972,0.04662895204934768,0.046473984394373016
AZ,0.11064765183271151,0.144120325967082,0.1591542454964332,0.1610312246662404,0.15368089342704605
CA,0.12384374113686067,0.16161542787275468,0.1818835628390618,0.19154686365859055,0.19204006631286927
CO,0.04372242020993302,0.05786404155550438,0.06483783931319458,0.06807056510293696,0.06895062336492533
CT,0.05939743703012484,0.08029952567744457,0.09428750213316132,0.10268517151246755,0.10794341421365286
DC,0.08908213462136444,0.11068695901486984,0.12784459726287967,0.13615054271609356,0.1394798109235072
DE,0.05856528245611762,0.08113298944624317,0.09394328656225215,0.10152994543078277,0.10524494570758261
FL,0.1102712282105111,0.14433415247046133,0.1612185737782872,0.1667368401172402,0.16457203569034476
GA,0.04885359237108129,0.06457601584280859,0.07310211982962864,0.0770258474802167,0.07741714174848113
HI,0.09380562755164701,0.1222412086299149,0.13935977784659023,0.14801859227526742,0.15006146823330072
IA,0.023663406632068337,0.030845320473220014,0.035761487535151404,0.03825335908140026,0.0394458668253235
ID,0.07096272767508666,0.09344364897927379,0.10202008188069883,0.10181959351020317,0.09531988038869997
IL,0.0432077462908257,0.06008635867036859,0.07058678615108684,0.07667356824339196,0.07972023974451345
IN,0.023268495424837655,0.030714443070303552,0.03547638088708878,0.03813203318272017,0.03930877080326405
KS,0.026418437809105678,0.03424849915704076,0.039061887987796945,0.04235686935347186,0.04430119809380438
KY,0.02114555926658953,0.028957399354521806,0.03398501596108869,0.03713065738702286,0.038788479127548445
LA,0.03040178058005757,0.03927343227366918,0.04326475058822693,0.04487588516933537,0.04460839613297127
MA,0.06408911346129523,0.08605894649532216,0.10041637618042544,0.10943299315796481,0.11476568245747382
MD,0.07792158882239149,0.10485046612723838,0.12066945143642459,0.12880226129522515,0.13164914203831643
ME,0.05442562412122453,0.07132672549166391,0.0839911728897353,0.09150044105880714,0.09604197580680328
MI,0.05540214869447731,0.07534156061387288,0.08841805193797378,0.09738468252097328,0.10264557385287884
MN,0.053544361289517034,0.0735389034248453,0.08601436593625153,0.09421442209796904,0.09905054337102458
MO,0.03418502765569447,0.04530276768693784,0.05243919303322165,0.05691489714941778,0.0593084459830664
MS,0.03355585510557826,0.042891435236574904,0.0470717560111375,0.04838747414952475,0.047909976046034274
MT,0.04800003805073483,0.06372271497981967,0.07160496966449034,0.07351162111664435,0.07125519285042631
NC,0.033417585416426074,0.04514764240732322,0.05115311105950505,0.052839850899599465,0.052229298298198334
ND,0.022955216607313676,0.02582599502941621,0.026828120167069328,0.026845618901205334,0.026299497997766673
NE,0.026989534286189994,0.03444858483790949,0.03921650242677562,0.04200918069255864,0.043430294486007485
NH,0.06861060001416415,0.0911401126709691,0.10603336656380617,0.11525048087880249,0.12088275082087631
