"Hattiesburg, MS",1028
"Hickory-Lenoir-Morganton, NC",2973
"Hinesville-Fort Stewart, GA",882
"Holland-Grand Haven, MI",2313
"Honolulu, HI",15950
"Hot Springs, AR",971
"Houma-Bayou Cane-Thibodaux, LA",1267
"Houston-Sugar Land-Baytown, TX",125646
"Huntington-Ashland, WV-KY-OH",1553
"Huntsville, AL",4601
"Idaho Falls, ID",1485
"Indianapolis-Carmel, IN",27191
"Iowa City, IA",554
"Ithaca, NY",300
"Jackson, MI",2283
"Jackson, MS",6800
"Jackson, TN",1505
"Jacksonville, FL",39641
"Jacksonville, NC",1698
"Janesville, WI",1578
"Jefferson City, MO",668
"Johnson City, TN",1393
"Johnstown, PA",857
"Jonesboro, AR",694
"Joplin, MO",1552
"Kalamazoo-Portage, MI",3620
"Kankakee-Bradley, IL",1148
"Kansas City, MO-KS",31818
"Kennewick-Pasco-Richland, WA",3072
"Killeen-Temple-Fort Hood, TX",4512
"Kingsport-Bristol-Bristol, TN-VA",1825
"Kingston, NY",2631
"Knoxville, TN",8137
"Kokomo, IN",1241
"La Crosse, WI-MN",485
"Lafayette, IN",1409
"Lafayette, LA",2063
"Lake Charles, LA",1404
"Lake County-Kenosha County, IL-WI  (MSAD)",16678
"Lake Havasu City-Kingman, AZ",5288
"Lakeland-Winter Haven, FL",15882
"Lancaster, PA",3761
"Lansing-East Lansing, MI",6553
"Laredo, TX",3834
"Las Cruces, NM",1506
"Las Vegas-Paradise, NV",95636
"Lawrence, KS",908
"Lawton, OK",1544
"Lebanon, PA",1136
"Lewiston, ID-WA",437
"Lewiston-Auburn, ME",1213
"Lexington-Fayette, KY",5036
"Lima, OH",1007
"Lincoln, NE",2286
"Little Rock-North Little Rock-Conway, AR",7907
"Logan, UT-ID",987
"Longview, TX",1548
"Longview, WA",1649
"Los Angeles-Long Beach-Glendale, CA  (MSAD)",291862
"Louisville-Jefferson County, KY-IN",16060
"Lubbock, TX",2712
"Lynchburg, VA",2237
"Macon, GA",3241
"Madera-Chowchilla, CA",3898
"Madison, WI",3713
"Manchester-Nashua, NH",5654
"Manhattan, KS",488
"Mankato-North Mankato, MN",654
"Mansfield, OH",1286
"McAllen-Edinburg-Mission, TX",10136
"Medford, OR",4551
"Memphis, TN-MS-AR",31713
"Merced, CA",6291
"Miami-Miami Beach-Kendall, FL  (MSAD)",101271
"Michigan City-La Porte, IN",1493
"Midland, TX",1007
"Milwaukee-Waukesha-West Allis, WI",17909
"Minneapolis-St. Paul-Bloomington, MN-WI",60166
"Missoula, MT",1070
"Mobile, AL",5569
"Modesto, CA",15024
"Monroe, LA",1341
"Monroe, MI",2149
"Montgomery, AL",4974
"Morgantown, WV",297
"Morristown, TN",1322
"Mount Vernon-Anacortes, WA",1975
"Muncie, IN",1267
"Muskegon-North Shores, MI",2277
"Myrtle Beach-North Myrtle Beach-Conway, SC",6051
"Napa, CA",5406
"Naples-Marco Island, FL",11703
"Nashville-Davidson--Murfreesboro--Franklin, TN",26136
"Nassau-Suffolk, NY  (MSAD)",76215
"Newark-Union, NJ-PA  (MSAD)",35571
"New Haven-Milford, CT",14477
"New Orleans-Metairie-Kenner, LA",15967
"New York-White Plains-Wayne, NY-NJ  (MSAD)",150534
"Niles-Benton Harbor, MI",2354
"Norwich-New London, CT",3560
"Oakland-Fremont-Hayward, CA  (MSAD)",100720
"Ocala, FL",6668
"Ocean City, NJ",4027
"Odessa, TX",1011
"Ogden-Clearfield, UT",7116
"Oklahoma City, OK",15884
"Olympia, WA",4471
"Omaha-Council Bluffs, NE-IA",9865
"Orlando-Kissimmee, FL",75026
"Oshkosh-Neenah, WI",1061
"Owensboro, KY",654
"Oxnard-Thousand Oaks-Ventura, CA",33184
"Palm Bay-Melbourne-Titusville, FL",15472
"Palm Coast, FL",4234
"Panama City-Lynn Haven-Panama City Beach, FL",4076
"Parkersburg-Marietta-Vienna, WV-OH",742
"Pascagoula, MS",1486
"Peabody, MA  (MSAD)",11251
"Pensacola-Ferry Pass-Brent, FL",9087
"Peoria, IL",2420
"Philadelphia, PA  (MSAD)",61145
"Phoenix-Mesa-Scottdale, AZ",131893
"Pine Bluff, AR",860
"Pittsburgh, PA",26634
"Pittsfield, MA",938
"Pocatello, ID",952
"Portland-South Portland-Biddeford, ME",6408
"Portland-Vancouver-Beaverton, OR-WA",45753
"Port St. Lucie, FL",14088
"Poughkeepsie-Newburgh-Middletown, NY",12583
"Prescott, AZ",4815
"Providence-New Bedford-Fall River, RI-MA",22539
"Provo-Orem, UT",7235
"Pueblo, CO",3875
"Punta Gorda, FL",4887
"Racine, WI",2213
"Raleigh-Cary, NC",15251
"Rapid City, SD",929
"Reading, PA",4281
"Redding, CA",4353
"Reno-Sparks, NV",13391
"Richmond, VA",20202
"Riverside-San Bernardino-Ontario, CA",163726
"Roanoke, VA",3377
"Rochester, MN",1694
"Rochester, NY",8921
"Rockford, IL",4311
"Rockingham County-Strafford County, NH  (MSAD)",5972
"Rocky Mount, NC",1428
